x y1 y3 y5 y7 y9 y11
-4.2 354.349007 151.081605 62.900948 25.487659 10.041403 3.826696
-4 804.549363 326.695962 129.151528 49.513838 18.375673 6.560485
-3.8 1755.102123 677.044271 253.38466 91.57273 31.865957 10.594138
-3.6 3678.58087 1344.354758 474.69374 161.032422 52.254631 16.05691
-3.4 7407.752187 2556.798142 848.509534 268.849505 80.809301 22.732295
-3.2 14332.462147 4655.88089 1445.755705 425.332053 117.434251 29.860324
-3 26643.015794 8114.013325 2345.402924 636.080085 159.599517 36.032643
-2.8 47585.45012 13525.810318 3617.307226 896.328837 201.465105 39.311572
-2.6 81656.958945 21552.498799 5293.984793 1184.944999 233.787432 37.676334
-2.4 134629.565114 32800.673729 7334.007358 1460.518902 245.220143 29.782994
-2.2 213263.191708 47628.802782 9585.632801 1662.765291 225.298986 15.833156
-2 324578.379008 65899.278886 11765.29404 1722.009288 168.68531 -1.840534
-1.8 474625.961687 86727.149973 13468.437249 1577.317572 79.327763 -18.916777
-1.6 666824.601291 108308.533681 14226.366362 1200.005841 -27.461566 -30.20648
-1.4 900119.061162 127926.07461 13610.308477 615.080168 -126.886302 -31.561678
-1.2 1167391.492002 142209.578597 11364.740712 -89.185637 -191.129749 -21.867382
-1 1454659.373669 147670.038964 7532.627101 -771.751021 -198.946082 -4.124351
-0.8 1741543.459585 141434.507728 2525.093748 -1271.360321 -144.890694 15.162433
-0.6 2003251.811132 122016.306371 -2904.549178 -1453.910068 -43.923539 28.347904
-0.4 2213935.643245 89899.248888 -7795.770825 -1259.144811 71.603374 29.885043
-0.2 2350837.777697 47729.153988 -11199.422972 -728.368928 162.453417 18.937867
-0 2398327.850992 -0 -12419.202526 0 196.803982 -0
0.2 2350837.777697 -47729.153988 -11199.422972 728.368928 162.453417 -18.937867
0.4 2213935.643245 -89899.248888 -7795.770825 1259.144811 71.603374 -29.885043
0.6 2003251.811132 -122016.306371 -2904.549177 1453.910068 -43.923539 -28.347904
0.8 1741543.459585 -141434.507729 2525.093748 1271.360321 -144.890694 -15.162433
1 1454659.373669 -147670.038964 7532.627101 771.751021 -198.946082 4.124352
1.2 1167391.492002 -142209.578597 11364.740712 89.185637 -191.12975 21.867382
1.4 900119.061162 -127926.07461 13610.308477 -615.080168 -126.886302 31.561678
1.6 666824.601292 -108308.533681 14226.366362 -1200.005842 -27.461566 30.20648
1.8 474625.961687 -86727.149973 13468.437249 -1577.317573 79.327763 18.916777
2 324578.379008 -65899.278886 11765.29404 -1722.009288 168.68531 1.840534
2.2 213263.191708 -47628.802782 9585.632801 -1662.765292 225.298987 -15.833156
2.4 134629.565114 -32800.673729 7334.007358 -1460.518902 245.220144 -29.782994
2.6 81656.958945 -21552.498799 5293.984793 -1184.944999 233.787433 -37.676334
2.8 47585.450119 -13525.810318 3617.307226 -896.328838 201.465105 -39.311572
3 26643.015794 -8114.013325 2345.402924 -636.080085 159.599517 -36.032644
3.2 14332.462147 -4655.88089 1445.755705 -425.332053 117.434251 -29.860325
3.4 7407.752187 -2556.798142 848.509534 -268.849505 80.809302 -22.732296
3.6 3678.580869 -1344.354758 474.69374 -161.032422 52.254631 -16.056911
3.8 1755.10212 -677.044271 253.38466 -91.57273 31.865957 -10.594138
4 804.549358 -326.695962 129.151527 -49.513837 18.375673 -6.560485
4.2 354.348996 -151.081605 62.900948 -25.487658 10.041403 -3.826696
